person_id,kind,local_path,wikidata_id,source_url,file_title,author,license,license_url,review_status,match_method,notes
wang-fuzhi,generated-illustration,/portraits-generated-v1/wang-fuzhi.webp,,,AI interpretive portrait of wang-fuzhi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
yan-yuan,sourced-image,/portraits-finalized-v1/yan-yuan.webp,Q1151004,https://commons.wikimedia.org/wiki/File:%E9%A1%8F%E5%85%83.jpg,顏元.jpg,叶公绰辑，杨鹏秋摹绘。,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
ma-zhu,generated-illustration,/portraits-generated-v1/ma-zhu.webp,,,AI interpretive portrait of ma-zhu,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
tang-zhen,generated-illustration,/portraits-generated-v1/tang-zhen.webp,,,AI interpretive portrait of tang-zhen,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
li-gong,generated-illustration,/portraits-generated-v1/li-gong.webp,,,AI interpretive portrait of li-gong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
liu-zhi,generated-illustration,/portraits-generated-v1/liu-zhi.webp,,,AI interpretive portrait of liu-zhi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
dai-zhen,generated-illustration,/portraits-generated-v1/dai-zhen.webp,,,AI interpretive portrait of dai-zhen,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zhang-xuecheng,generated-illustration,/portraits-generated-v1/zhang-xuecheng.webp,,,AI interpretive portrait of zhang-xuecheng,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
jiao-xun,generated-illustration,/portraits-generated-v1/jiao-xun.webp,,,AI interpretive portrait of jiao-xun,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
ruan-yuan,sourced-image,/portraits-finalized-v1/ruan-yuan.webp,Q716358,https://commons.wikimedia.org/wiki/File:%E9%98%AE%E5%85%83.jpg,阮元.jpg,清叶衍兰辑摹，黄小泉绘。,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
gong-zizhen,generated-illustration,/portraits-generated-v1/gong-zizhen.webp,,,AI interpretive portrait of gong-zizhen,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
wei-yuan,sourced-image,/portraits-finalized-v1/wei-yuan.webp,Q597003,https://commons.wikimedia.org/wiki/File:Wei_Yuan.png,Wei Yuan.png,叶衍兰,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
feng-guifen,generated-illustration,/portraits-generated-v1/feng-guifen.webp,,,AI interpretive portrait of feng-guifen,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
tan-sitong,generated-illustration,/portraits-generated-v1/tan-sitong.webp,,,AI interpretive portrait of tan-sitong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
yan-fu,sourced-image,/portraits-finalized-v1/yan-fu.webp,Q559957,https://commons.wikimedia.org/wiki/File:Yan_fu.jpg,Yan fu.jpg,Anonymous Unknown author,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
kang-youwei,generated-illustration,/portraits-generated-v1/kang-youwei.webp,,,AI interpretive portrait of kang-youwei,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
liang-qichao,sourced-image,/portraits-finalized-v1/liang-qichao.webp,Q379836,https://commons.wikimedia.org/wiki/File:MinistroDeJusticiaLiangQichao.jpg,MinistroDeJusticiaLiangQichao.jpg,Rowanwindwhistler,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
sun-yat-sen,sourced-image,/portraits-finalized-v1/sun-yat-sen.webp,Q8573,https://commons.wikimedia.org/wiki/File:%E5%AD%99%E4%B8%AD%E5%B1%B1%E8%82%96%E5%83%8F.jpg,孙中山肖像.jpg,上海波尔照相馆,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
zhang-taiyan,sourced-image,/portraits-finalized-v1/zhang-taiyan.webp,Q197162,https://commons.wikimedia.org/wiki/File:Zhangtaiyan1899.jpg,Zhangtaiyan1899.jpg,​照片攝影者未知;redbrow製作,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
he-zhen,generated-illustration,/portraits-generated-v1/he-zhen.webp,,,AI interpretive portrait of he-zhen,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
cai-yuanpei,generated-illustration,/portraits-generated-v1/cai-yuanpei.webp,,,AI interpretive portrait of cai-yuanpei,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
hu-shi,sourced-image,/portraits-finalized-v1/hu-shi.webp,Q47667,https://commons.wikimedia.org/wiki/File:Hu_Shih.jpg,Hu Shih.jpg,Unknown; scanned by 天竺鼠 ( talk ),Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
liang-shuming,generated-illustration,/portraits-generated-v1/liang-shuming.webp,,,AI interpretive portrait of liang-shuming,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
lu-xun,generated-illustration,/portraits-generated-v1/lu-xun.webp,,,AI interpretive portrait of lu-xun,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
li-da,generated-illustration,/portraits-generated-v1/li-da.webp,,,AI interpretive portrait of li-da,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
ma-yifu,generated-illustration,/portraits-generated-v1/ma-yifu.webp,,,AI interpretive portrait of ma-yifu,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
xiong-shili,generated-illustration,/portraits-generated-v1/xiong-shili.webp,,,AI interpretive portrait of xiong-shili,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zhang-dongsun,sourced-image,/portraits-finalized-v1/zhang-dongsun.webp,Q564886,https://commons.wikimedia.org/wiki/File:Zhang_Dongsun2.jpg,Zhang Dongsun2.jpg,Unknown; scanned by Internet Archive ( https://archive.org/ ),Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
zhang-junmai,sourced-image,/portraits-finalized-v1/zhang-junmai.webp,Q2782947,https://commons.wikimedia.org/wiki/File:Zhang_Junmai.jpg,Zhang Junmai.jpg,"Unknown; scanned by 天竺鼠 ( talk ) 16:21, 25 December 2010 (UTC)",Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
ai-siqi,generated-illustration,/portraits-generated-v1/ai-siqi.webp,,,AI interpretive portrait of ai-siqi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
feng-youlan,generated-illustration,/portraits-generated-v1/feng-youlan.webp,,,AI interpretive portrait of feng-youlan,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
jin-yuelin,generated-illustration,/portraits-generated-v1/jin-yuelin.webp,,,AI interpretive portrait of jin-yuelin,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
he-lin,generated-illustration,/portraits-generated-v1/he-lin.webp,,,AI interpretive portrait of he-lin,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
mao-zedong,sourced-image,/portraits-finalized-v1/mao-zedong.webp,Q5816,https://commons.wikimedia.org/wiki/File:Mao_Tse_Tung.jpg,Mao Tse Tung.jpg,Chen Zhengqing (1917–1966),Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
qian-mu,sourced-image,/portraits-finalized-v1/qian-mu.webp,Q707313,https://commons.wikimedia.org/wiki/File:Qian_Mu.jpg,Qian Mu.jpg,Unknown author Unknown author,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
fang-dongmei,generated-illustration,/portraits-generated-v1/fang-dongmei.webp,,,AI interpretive portrait of fang-dongmei,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
tang-junyi,sourced-image,/portraits-finalized-v1/tang-junyi.webp,Q7682698,https://commons.wikimedia.org/wiki/File:Tang_Chun-i_-_New_Asia_College_and_Yale-China_Association_Cooperation_1954_(cropped).jpg,Tang Chun-i - New Asia College and Yale-China Association Cooperation 1954 (cropped).jpg,Unknown author Unknown author,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
mou-zongsan,generated-illustration,/portraits-generated-v1/mou-zongsan.webp,,,AI interpretive portrait of mou-zongsan,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
xu-fuguan,sourced-image,/portraits-finalized-v1/xu-fuguan.webp,Q3571061,https://commons.wikimedia.org/wiki/File:%E5%BE%90%E5%BE%A9%E8%A7%80_01.jpg,徐復觀 01.jpg,Unknown author Unknown author,Public domain,,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
feng-qi,generated-illustration,/portraits-generated-v1/feng-qi.webp,,,AI interpretive portrait of feng-qi,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zhang-dainian,generated-illustration,/portraits-generated-v1/zhang-dainian.webp,,,AI interpretive portrait of zhang-dainian,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
lao-sze-kwang,generated-illustration,/portraits-generated-v1/lao-sze-kwang.webp,,,AI interpretive portrait of lao-sze-kwang,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
li-zehou,generated-illustration,/portraits-generated-v1/li-zehou.webp,,,AI interpretive portrait of li-zehou,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
wang-ruoshui,generated-illustration,/portraits-generated-v1/wang-ruoshui.webp,,,AI interpretive portrait of wang-ruoshui,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zhang-shiying,generated-illustration,/portraits-generated-v1/zhang-shiying.webp,,,AI interpretive portrait of zhang-shiying,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
cheng-chung-ying,generated-illustration,/portraits-generated-v1/cheng-chung-ying.webp,,,AI interpretive portrait of cheng-chung-ying,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
tu-weiming,generated-illustration,/portraits-generated-v1/tu-weiming.webp,,,AI interpretive portrait of tu-weiming,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
chen-lai,generated-illustration,/portraits-generated-v1/chen-lai.webp,,,AI interpretive portrait of chen-lai,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
huang-yong,generated-illustration,/portraits-generated-v1/huang-yong.webp,,,AI interpretive portrait of huang-yong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
jiang-qing,generated-illustration,/portraits-generated-v1/jiang-qing.webp,,,AI interpretive portrait of jiang-qing,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
robin-wang,generated-illustration,/portraits-generated-v1/robin-wang.webp,,,AI interpretive portrait of robin-wang,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
wang-hui,sourced-image,/portraits-finalized-v1/wang-hui.webp,Q3503449,"https://commons.wikimedia.org/wiki/File:Wang_Hui,_Berlin_2016.jpg","Wang Hui, Berlin 2016.jpg",Rosa-Luxemburg-Stiftung,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,reviewed-head-crop,zhwiki-exact-title-or-redirect,Exact Chinese Wikipedia title or redirect with Wikidata P18; requires final visual identity review. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display. Head-and-shoulders crop visually reviewed for circular display.
yang-guorong,generated-illustration,/portraits-generated-v1/yang-guorong.webp,,,AI interpretive portrait of yang-guorong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
li-chenyang,generated-illustration,/portraits-generated-v1/li-chenyang.webp,,,AI interpretive portrait of li-chenyang,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
zhao-tingyang,generated-illustration,/portraits-generated-v1/zhao-tingyang.webp,,,AI interpretive portrait of zhao-tingyang,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
bai-tongdong,generated-illustration,/portraits-generated-v1/bai-tongdong.webp,,,AI interpretive portrait of bai-tongdong,OpenAI image generation,Project-generated illustration,,reviewed-generated,period-biography-illustrative-prompt,AI-generated interpretive head-and-shoulders illustration; not a historical likeness or documentary image.
