claim_id,source_id,locator,evidence_role,excerpt_id,evidence_status,reviewer,reviewed_at
fuxi-textual-image-patterns-to-trigrams,src-zhouyi-xicixia-ctext,《周易·系辞下》第二章，包牺氏作八卦段,primary,ex-fuxi-textual-image-patterns-to-trigrams,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
shennong-textual-image-empirical-benefit,src-huainanzi-xiuwu-ctext,《淮南子·修务训》神农教民播种、尝百草段,primary,ex-shennong-textual-image-empirical-benefit,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
huangdi-medical-tradition-regulated-life,src-huangdi-neijing-shanggutianzhen-ctext,《黄帝内经素问·上古天真论》第一节，黄帝问、岐伯答段,primary,ex-huangdi-medical-tradition-regulated-life,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
yao-textual-image-virtue-expands-to-all-under-heaven,src-shangshu-yushu-ctext,《尚书·虞书·尧典》开篇“克明俊德”段,primary,ex-yao-textual-image-virtue-expands-to-all-under-heaven,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
shun-textual-image-balanced-character-music-education,src-shangshu-yushu-ctext,《尚书·虞书·舜典》第十六节，命夔典乐段,primary,ex-shun-textual-image-balanced-character-music-education,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
yu-textual-image-good-government-nourishes-people,src-shangshu-yushu-ctext,《尚书·虞书·大禹谟》第六节，禹曰“德惟善政”段,primary,ex-yu-textual-image-good-government-nourishes-people,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
king-wen-textual-tradition-qian-constancy,src-zhouyi-qian-ctext,《周易》经文，乾卦卦辞,primary,ex-king-wen-textual-tradition-qian-constancy,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
duke-zhou-textual-image-bright-virtue-cautious-punishment,src-shangshu-zhoushu-ctext,《尚书·周书·康诰》“惟乃丕显考文王”段,primary,ex-duke-zhou-textual-image-bright-virtue-cautious-punishment,locator-reviewed,legendary-founders-2026-07-15-a,2026-07-17
guan-zhong-material-security-moral-order,src-guanzi-mumin-ctext,《管子·牧民》第一节,primary,ex-guan-zhong-material-security-moral-order,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
laozi-language-dao,ctext-laozi,Dao De Jing 1 / 《道德经》第一章,primary,ex-laozi-language-dao,locator-reviewed,phase1-editorial,2026-07-14
laozi-wuwei-transformation,ctext-laozi,Dao De Jing 37 / 《道德经》第三十七章,primary,ex-laozi-wuwei-transformation,locator-reviewed,phase1-editorial,2026-07-14
laozi-model-naturalness,ctext-laozi,Dao De Jing 25 / 《道德经》第二十五章,primary,ex-laozi-model-naturalness,locator-reviewed,phase1-editorial,2026-07-14
laozi-reversal-dao,ctext-laozi,Dao De Jing 40 / 《道德经》第四十章,primary,ex-laozi-reversal-dao,locator-reviewed,phase1-editorial,2026-07-14
laozi-softness-overcomes,ctext-laozi,Dao De Jing 43 / 《道德经》第四十三章,primary,ex-laozi-softness-overcomes,locator-reviewed,phase1-editorial,2026-07-14
laozi-contentment,ctext-laozi,Dao De Jing 44 / 《道德经》第四十四章,primary,ex-laozi-contentment,locator-reviewed,phase1-editorial,2026-07-14
yan-ying-harmony-not-sameness,src-yanzichunqiu-he-wikisource,卷七“景公谓梁丘据与己和晏子谏”第五,primary,ex-yan-ying-harmony-not-sameness,locator-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
confucius-ren-ritual,ctext-analects,Analects 12.1 / 《论语·颜渊》,primary,ex-confucius-ren-ritual,locator-reviewed,phase1-editorial,2026-07-14
confucius-reciprocity,ctext-analects,Analects 15.24 / 《论语·卫灵公》,primary,ex-confucius-reciprocity,locator-reviewed,phase1-editorial,2026-07-14
confucius-rule-virtue,ctext-analects,Analects 2.1 / 《论语·为政》,primary,ex-confucius-rule-virtue,locator-reviewed,phase1-editorial,2026-07-14
confucius-rectification-names,ctext-analects,Analects 13.3 / 《论语·子路》,primary,ex-confucius-rectification-names,locator-reviewed,phase1-editorial,2026-07-14
confucius-superior-person,ctext-analects,Analects 4.16 / 《论语·里仁》,primary,ex-confucius-superior-person,locator-reviewed,phase1-editorial,2026-07-14
confucius-harmony-difference,ctext-analects,Analects 13.23 / 《论语·子路》,primary,ex-confucius-harmony-difference,locator-reviewed,phase1-editorial,2026-07-14
sunzi-victory-before-battle,src-sunzi-junxing-ctext,《孙子兵法·军形》第四篇，胜兵先胜段,primary,ex-sunzi-victory-before-battle,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
yan-hui-learning-culture-ritual,src-analects-zihan-ctext,《论语·子罕》9.11，颜渊喟然叹章,primary,ex-yan-hui-learning-culture-ritual,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
zengzi-confucian-way-zhong-shu,src-analects-liren-ctext,《论语·里仁》4.15,primary,ex-zengzi-confucian-way-zhong-shu,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
mozi-inclusive-care,ctext-mozi,Mozi: Universal Love II / 《墨子·兼爱中》,primary,ex-mozi-inclusive-care,locator-reviewed,phase1-editorial,2026-07-14
mozi-care-order,ctext-mozi,Mozi: Universal Love I / 《墨子·兼爱上》,primary,ex-mozi-care-order,locator-reviewed,phase1-editorial,2026-07-14
mozi-merit-office,ctext-mozi,Mozi: Exaltation of the Virtuous / 《墨子·尚贤》,primary,ex-mozi-merit-office,locator-reviewed,phase1-editorial,2026-07-14
mozi-condemn-offensive-war,ctext-mozi,Mozi: Condemnation of Offensive War / 《墨子·非攻》,primary,ex-mozi-condemn-offensive-war,locator-reviewed,phase1-editorial,2026-07-14
mozi-will-heaven,ctext-mozi,Mozi: Will of Heaven / 《墨子·天志》,primary,ex-mozi-will-heaven,locator-reviewed,phase1-editorial,2026-07-14
mozi-frugality,ctext-mozi,Mozi: Frugality / 《墨子·节用》,primary,ex-mozi-frugality,locator-reviewed,phase1-editorial,2026-07-14
zisi-sincerity-heaven-human-way,src-liji-zhongyong-ctext,《礼记·中庸》第二十章，论诚段,primary,ex-zisi-sincerity-heaven-human-way,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
liezi-ceaseless-generation-transformation,src-liezi-tianrui-ctext,《列子·天瑞》“生者不能不生”段,primary,ex-liezi-ceaseless-generation-transformation,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
yang-zhu-for-self-no-hair-for-world,src-mengzi-jinxin-i-yangzhu-ctext,《孟子·尽心上》第二十六章,primary,ex-yang-zhu-for-self-no-hair-for-world,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
shang-yang-law-trust-authority,src-shangjunshu-xiuquan-ctext,《群书治要》卷三十六《商君子·修权》开篇,primary,ex-shang-yang-law-trust-authority,locator-reviewed,classical-2026-07-14-a,2026-07-17
shen-buhai-technique-name-performance,src-hanfeizi-dingfa-ctext,《韩非子·定法》，比较申不害之术与商鞅之法段,primary,ex-shen-buhai-technique-name-performance,locator-reviewed,classical-2026-07-14-a,2026-07-17
sun-bin-war-neither-delight-nor-profit,src-sunbin-jianweiwang-ctext,银雀山汉简《孙膑兵法·见威王》开篇,primary,ex-sun-bin-war-neither-delight-nor-profit,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
mencius-moral-sprouts,ctext-mengzi,Mengzi 2A.6 / 《孟子·公孙丑上》,primary,ex-mencius-moral-sprouts,locator-reviewed,phase1-editorial,2026-07-14
mencius-nature-good,ctext-mengzi,Mengzi 6A.2 / 《孟子·告子上》,primary,ex-mencius-nature-good,locator-reviewed,phase1-editorial,2026-07-14
mencius-people-priority,ctext-mengzi,Mengzi 7B.14 / 《孟子·尽心下》,primary,ex-mencius-people-priority,locator-reviewed,phase1-editorial,2026-07-14
mencius-kingly-way,ctext-mengzi,Mengzi 1A / 《孟子·梁惠王上》,primary,ex-mencius-kingly-way,locator-reviewed,phase1-editorial,2026-07-14
mencius-rightness-profit,ctext-mengzi,Mengzi 1A.1 / 《孟子·梁惠王上》,primary,ex-mencius-rightness-profit,locator-reviewed,phase1-editorial,2026-07-14
mencius-flood-like-qi,ctext-mengzi,Mengzi 2A.2 / 《孟子·公孙丑上》,primary,ex-mencius-flood-like-qi,locator-reviewed,phase1-editorial,2026-07-14
hui-shi-great-one-small-one,src-zhuangzi-tianxia-ctext,《庄子·天下》“惠施多方”后所列历物十事第一条,primary,ex-hui-shi-great-one-small-one,locator-reviewed,classical-2026-07-14-a,2026-07-17
zhuangzi-perspectives,ctext-zhuangzi,Zhuangzi 2 / 《庄子·齐物论》,primary,ex-zhuangzi-perspectives,locator-reviewed,phase1-editorial,2026-07-14
zhuangzi-no-fixed-self,ctext-zhuangzi,Zhuangzi 1 / 《庄子·逍遥游》,primary,ex-zhuangzi-no-fixed-self,locator-reviewed,phase1-editorial,2026-07-14
zhuangzi-ten-thousand-one,ctext-zhuangzi,Zhuangzi 2 / 《庄子·齐物论》,primary,ex-zhuangzi-ten-thousand-one,locator-reviewed,phase1-editorial,2026-07-14
zhuangzi-free-easy-wandering,ctext-zhuangzi,Zhuangzi 1 / 《庄子·逍遥游》,primary,ex-zhuangzi-free-easy-wandering,locator-reviewed,phase1-editorial,2026-07-14
zhuangzi-skill-cultivation,ctext-zhuangzi,Zhuangzi 3 / 《庄子·养生主》,primary,ex-zhuangzi-skill-cultivation,locator-reviewed,phase1-editorial,2026-07-14
zhuangzi-life-death,ctext-zhuangzi,Zhuangzi 2 / 《庄子·齐物论》,primary,ex-zhuangzi-life-death,locator-reviewed,phase1-editorial,2026-07-14
gaozi-life-is-nature,src-mengzi-gaozi-i-ctext,《孟子·告子上》第一章,primary,ex-gaozi-life-is-nature,locator-reviewed,classical-2026-07-14-a,2026-07-17
xu-xing-ruler-shares-labor,src-mengzi-tengwengong-i-ctext,《孟子·滕文公上》第四章，陈相转述许行之言,primary,ex-xu-xing-ruler-shares-labor,locator-reviewed,classical-2026-07-14-a,2026-07-17
shen-dao-follow-necessity,src-zhuangzi-tianxia-ctext,《庄子·天下》慎到、彭蒙、田骈论述段,primary,ex-shen-dao-follow-necessity,locator-reviewed,classical-2026-07-14-a,2026-07-17
zou-yan-five-virtues-historical-succession,src-shiji-mengzi-xunqing-ctext,《史记·孟子荀卿列传》邹衍传，述五德转移段,primary,ex-zou-yan-five-virtues-historical-succession,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
gongsun-long-white-horse-not-horse,src-gongsunlongzi-baimajun-ctext,《公孙龙子·白马论》开篇及“求马”“求白马”论证段,primary,ex-gongsun-long-white-horse-not-horse,locator-reviewed,classical-2026-07-14-a,2026-07-17
xunzi-nature-transformation,ctext-xunzi,Xunzi 23 / 《荀子·性恶》,primary,ex-xunzi-nature-transformation,locator-reviewed,phase1-editorial,2026-07-14
xunzi-ritual-order,ctext-xunzi,Xunzi 19 / 《荀子·礼论》,primary,ex-xunzi-ritual-order,locator-reviewed,phase1-editorial,2026-07-14
xunzi-heaven-constant,ctext-xunzi,Xunzi 17 / 《荀子·天论》,primary,ex-xunzi-heaven-constant,locator-reviewed,phase1-editorial,2026-07-14
xunzi-encouragement-learning,ctext-xunzi,Xunzi 1 / 《荀子·劝学》,primary,ex-xunzi-encouragement-learning,locator-reviewed,phase1-editorial,2026-07-14
xunzi-rectification-names,ctext-xunzi,Xunzi 22 / 《荀子·正名》,primary,ex-xunzi-rectification-names,locator-reviewed,phase1-editorial,2026-07-14
xunzi-rightness-profit,ctext-xunzi,Xunzi 2 / 《荀子·荣辱》,primary,ex-xunzi-rightness-profit,locator-reviewed,phase1-editorial,2026-07-14
han-fei-two-handles,src-hanfeizi-erbing-ctext,《韩非子·二柄》开篇,primary,ex-han-fei-two-handles,locator-reviewed,classical-2026-07-14-a,2026-07-17
lu-buwei-law-must-change-with-times,src-lvshi-chunqiu-chajin-ctext,《吕氏春秋·慎大览·察今》“世易时移”段,primary,ex-lu-buwei-law-must-change-with-times,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
li-si-state-strength-through-inclusion,src-jianzhukeshu-ctext,《谏逐客书》第四、第五段,primary,ex-li-si-state-strength-through-inclusion,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
dong-zhongshu-heaven-warns-ruler,src-hanshu-dongzhongshu-ctext,《汉书·董仲舒传》所录天人三策第三策，论灾异谴告段,primary,ex-dong-zhongshu-heaven-warns-ruler,locator-reviewed,classical-2026-07-14-a,2026-07-17
liu-an-dao-encompasses-cosmos,src-huainanzi-yuandao-ctext,《淮南子·原道训》开篇,primary,ex-liu-an-dao-encompasses-cosmos,locator-reviewed,classical-2026-07-14-a,2026-07-17
liu-an-qi-differentiates-cosmos,src-huainanzi-tianwen-ctext,《淮南子·天文训》开篇,primary,ex-liu-an-qi-differentiates-cosmos,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
dong-zhongshu-five-phases-governance,src-chunqiu-fanlu-wuxing,《春秋繁露·五行相生》第五十八,primary,ex-dong-zhongshu-five-phases-governance,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
sima-tan-six-schools-shared-governance,src-shiji-taishigongzixu-ctext,《史记·太史公自序》所录《论六家要旨》开篇,primary,ex-sima-tan-six-schools-shared-governance,locator-reviewed,classical-2026-07-14-a,2026-07-17
sima-qian-death-value-by-purpose,src-hanshu-simaqian-ctext,《汉书·司马迁传》所录《报任安书》“人固有一死”段,primary,ex-sima-qian-death-value-by-purpose,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
yang-xiong-nature-mixed-cultivation,src-yangzi-fayan-xiushen-ctext,《扬子法言·修身卷第三》“人之性也善恶混”章,primary,ex-yang-xiong-nature-mixed-cultivation,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
huan-tan-spirit-dependent-on-body,src-hongmingji-xinlun-xingshen-ctext,《弘明集》卷五《新论形神》，火烛譬喻段,primary,ex-huan-tan-spirit-dependent-on-body,locator-reviewed,classical-2-2026-07-14-a,2026-07-17
wang-chong-spontaneous-generation,src-lunheng-ziran-ctext,《论衡·自然》“天地合气”段,primary,ex-wang-chong-spontaneous-generation,locator-reviewed,classical-2026-07-14-a,2026-07-17
wang-chong-dead-lack-awareness,src-lunheng-lunshi-ctext,《论衡·论死》开篇及人死不为鬼段,primary,ex-wang-chong-dead-lack-awareness,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
ban-zhao-educate-women,src-banzhao-nvjie,〈夫婦第二〉末段,primary,ex-ban-zhao-educate-women,locator-reviewed,codex-medieval-source-review-2,2026-07-17
wang-fu-people-ground-state,src-wangfu-qianfulun,卷五〈愛日第十八〉开篇,primary,ex-wang-fu-people-ground-state,locator-reviewed,codex-medieval-source-review-2,2026-07-17
zheng-xuan-ritual-constitutes-person,src-zhengxuan-liji-liji,《禮記鄭氏注》卷十〈禮器第十〉，“禮也者猶體也”章郑注,primary,ex-zheng-xuan-ritual-constitutes-person,locator-reviewed,codex-medieval-source-review-2,2026-07-17
zhongchang-tong-human-affairs-primary,src-changyan-zhong-zhongchangtong,《昌言》卷中论三代帝王功业段,primary,ex-zhongchang-tong-human-affairs-primary,locator-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
he-yan-nonbeing-ground-of-being,src-heyan-daolun-liezi-zhu-ctext,《列子》卷一〈天瑞〉张湛注引何晏《道论》,primary,ex-he-yan-nonbeing-ground-of-being,locator-reviewed,codex-medieval-source-review,2026-07-17
wang-bi-being-rooted-in-nonbeing,src-wangbi-daodejing-zhu-ctext,《道德真經註》第四十章“反者道之動”章注,primary,ex-wang-bi-being-rooted-in-nonbeing,locator-reviewed,codex-medieval-source-review,2026-07-17
wang-bi-forget-words-grasp-meaning,src-wangbi-zhouyi-lueli,《周易略例·明象》开篇,primary,ex-wang-bi-forget-words-grasp-meaning,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
ji-kang-sound-without-emotion,src-jikang-shengwuailelun-ctext,《嵇中散集》卷五〈聲無哀樂論〉，东野主人答秦客“声音有自然之和”段,primary,ex-ji-kang-sound-without-emotion,locator-reviewed,codex-medieval-source-review,2026-07-17
ji-kang-nourishing-life-unifies-body-spirit,src-jikang-yangshenglun,《养生论》形神相亲、导养得理段,primary,ex-ji-kang-nourishing-life-unifies-body-spirit,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
ruan-ji-great-person-beyond-ritual,src-ruanji-daren,《大人先生傳》开篇及答君子书段,primary,ex-ruan-ji-great-person-beyond-ritual,locator-reviewed,codex-medieval-source-review-2,2026-07-17
xiang-xiu-desire-natural-but-ritually-regulated,src-xiangxiu-nanyangsheng,〈難嵇叔夜養生論〉中段“生之為樂”段,primary,ex-xiang-xiu-desire-natural-but-ritually-regulated,locator-reviewed,codex-medieval-source-review-2,2026-07-17
lu-sheng-names-distinguish-and-govern,src-lusheng-mobian-xu,《鲁胜墨辩注叙》开篇,primary,ex-lu-sheng-names-distinguish-and-govern,locator-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
pei-wei-being-self-generates,src-peiwei-chongyoulun,《晉書》卷三十五〈裴頠傳〉引〈崇有論〉“至无者无以能生”段,primary,ex-pei-wei-being-self-generates,locator-reviewed,codex-medieval-source-review-2,2026-07-17
guo-xiang-things-self-generate,src-guoxiang-zhuangzi-jishi-ctext,《莊子集釋》卷一下〈齊物論〉“怒者其誰邪”句郭象注,primary,ex-guo-xiang-things-self-generate,locator-reviewed,codex-medieval-source-review,2026-07-17
guo-xiang-independence-through-dependence,src-guoxiang-zhuangzi-xiaoyaoyou,郭象《庄子注·逍遥游》大鹏与小鸟比较段,primary,ex-guo-xiang-independence-through-dependence,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
ge-hong-immortality-learnable,src-gehong-baopuzi-neipian,《抱朴子內篇》卷二〈論仙〉、卷三〈對俗〉辨“仙人有種”段,primary,ex-ge-hong-immortality-learnable,locator-reviewed,codex-medieval-source-review-2,2026-07-17
ge-hong-virtue-precedes-immortality,src-gehong-baopuzi-neipian,《抱朴子内篇·对俗》论求仙者积善段,primary,ex-ge-hong-virtue-precedes-immortality,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
zhi-dun-freedom-not-mere-satisfaction,src-zhidun-xiaoyaolun-fragment,《世說新語·文學》第32则刘孝标注引支氏〈逍遙論〉佚文,primary,ex-zhi-dun-freedom-not-mere-satisfaction,locator-reviewed,codex-medieval-source-review-2,2026-07-17
huiyuan-monastic-autonomy,src-huiyuan-shamen,"T52, no. 2102, 卷5〈沙門不敬王者論·出家第二〉",primary,ex-huiyuan-monastic-autonomy,locator-reviewed,codex-medieval-source-review-2,2026-07-17
sengzhao-emptiness-not-annihilation,src-sengzhao-zhaolun-cbeta,"T45, no. 1858, p. 152a-b，〈不真空論〉“万物果有其所以不有”段",primary,ex-sengzhao-emptiness-not-annihilation,locator-reviewed,codex-medieval-source-review,2026-07-17
sengzhao-motion-and-stillness-nondual,src-sengzhao-wubuqian-cbeta,T45 no.1858《物不迁论》开篇,primary,ex-sengzhao-motion-and-stillness-nondual,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
daosheng-all-beings-can-become-buddhas,src-daosheng-fahuajingshu-cbeta,"X27, no. 577, 卷1，〈見寶塔品第十一〉（CBETA PDF 印本第26页）",primary,ex-daosheng-all-beings-can-become-buddhas,locator-reviewed,codex-medieval-source-review,2026-07-17
fan-zhen-mind-function-of-body,src-fanzhen-shenmie,《梁書》卷四十八〈儒林·范縝傳〉所载〈神滅論〉开篇问答,primary,ex-fan-zhen-mind-function-of-body,locator-reviewed,codex-medieval-source-review-2,2026-07-17
bodhidharma-two-entrances-practice,src-bodhidharma-two-entrances-critical-study,PDF第141页，《二入四行论》本文开篇“夫入道多途”至“四行”目录,secondary,ex-bodhidharma-two-entrances-practice,locator-reviewed,codex-zen-modern-source-review,2026-07-17
zhiyi-three-thousand-in-one-thought,src-zhiyi-mohezhiguan-cbeta,"T46, no. 1911, p. 54a5-10，卷5〈正修止觀·觀不思議境〉",primary,ex-zhiyi-three-thousand-in-one-thought,locator-reviewed,codex-medieval-source-review,2026-07-17
jizang-two-truths-pedagogical,src-jizang-erdi,"T45, no. 1854, 卷1〈釋名第一〉开篇",primary,ex-jizang-two-truths-pedagogical,locator-reviewed,codex-medieval-source-review-2,2026-07-17
wang-tong-learning-serves-governance,src-zhongshuo-wangtong-one,《中说》卷一开篇记《政小论》段,primary,ex-wang-tong-learning-serves-governance,locator-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
du-shun-emptiness-form-nonobstruction,src-dushun-fajieguan-attributed,"T45, no. 1883, p. 672a-b，〈真空觀第一·會色歸空觀〉",primary,ex-du-shun-emptiness-form-nonobstruction,locator-reviewed,codex-medieval-source-review-2,2026-07-17
lv-cai-test-divination-against-classics,src-jiutangshu-lvcai,《旧唐书》卷七十九《吕才传》录《叙宅经》奏议,primary,ex-lv-cai-test-divination-against-classics,locator-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
xuanzang-color-not-apart-consciousness,src-xuanzang-zhenweishiliang,"T44, no. 1840, 卷上，疏释“真故极成色”量式段",primary,ex-xuanzang-color-not-apart-consciousness,locator-reviewed,codex-medieval-source-review-2,2026-07-17
kuiji-consciousness-only-not-nihilism,src-kuiji-chengweishi-shuji,"T43, no. 1830, 卷1，p. 229a-b，序释“唯识”名义段",primary,ex-kuiji-consciousness-only-not-nihilism,locator-reviewed,codex-medieval-source-review-2,2026-07-17
fazang-dependent-arising-golden-lion,src-fazang-jinshizizhang-cbeta,"T45, no. 1881, 卷1，〈明緣起第一〉、〈辨色空第二〉",primary,ex-fazang-dependent-arising-golden-lion,locator-reviewed,codex-medieval-source-review,2026-07-17
fazang-one-is-all-nonobstruction,src-fazang-huayan-yicheng,T45 no.1866卷四，十玄缘起无碍法门段,primary,ex-fazang-one-is-all-nonobstruction,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
huineng-intrinsically-pure-self-nature,src-huineng-tanjing-cbeta,"T48, no. 2008, 卷1〈行由第一〉，p. 349a（开示“菩提自性”段）",primary,ex-huineng-intrinsically-pure-self-nature,locator-reviewed,codex-medieval-source-review,2026-07-17
shenxiu-concentrate-mind-quiet-thought,src-shenxiu-datongbei,《唐文粹》卷六十三〈荊州玉泉寺大通禪師碑銘並序〉“开法大略”段,primary,ex-shenxiu-concentrate-mind-quiet-thought,locator-reviewed,codex-medieval-source-review-2,2026-07-17
shenhui-no-thought-and-nonaction,src-shenhui-xianzongji,《景德傳燈錄》卷三十所收〈顯宗記〉开篇,primary,ex-shenhui-no-thought-and-nonaction,locator-reviewed,codex-medieval-source-review-2,2026-07-17
mazu-mind-is-buddha,src-mazu-jingde,"T51, no. 2076, 卷6〈江西道一禪師〉“各信自心是佛”段",primary,ex-mazu-mind-is-buddha,locator-reviewed,codex-medieval-source-review-2,2026-07-17
han-yu-ren-yi-dao-de,src-hanyu-yuandao,〈原道〉开篇定义段,primary,ex-han-yu-ren-yi-dao-de,locator-reviewed,codex-medieval-source-review-2,2026-07-17
han-yu-confucian-succession,src-hanyu-yuandao,《原道》中段，道之传承谱系,primary,ex-han-yu-confucian-succession,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
li-ao-nature-obscured-by-emotions,src-liao-fuxingshu,《復性書》上篇开篇问答,primary,ex-li-ao-nature-obscured-by-emotions,locator-reviewed,codex-medieval-source-review-2,2026-07-17
liu-zongyuan-enfeoffment-product-of-circumstance,src-liuzongyuan-fengjianlun,〈封建論〉首段“有里胥而后有县大夫”历史生成论证结句,primary,ex-liu-zongyuan-enfeoffment-product-of-circumstance,locator-reviewed,codex-medieval-source-review-2,2026-07-17
liu-zongyuan-heaven-human-separate-functions,src-liuzongyuan-tianshuo,《天说》论天与人各行其功祸段,primary,ex-liu-zongyuan-heaven-human-separate-functions,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
zongmi-sudden-awakening-gradual-cultivation,src-zongmi-chanyuanxuqian-cbeta,"T48, no. 2015, p. 399b-c，卷1“若頓悟自心本來清淨”段",primary,ex-zongmi-sudden-awakening-gradual-cultivation,locator-reviewed,codex-medieval-source-review,2026-07-17
zongmi-originally-aware-true-mind,src-zongmi-yuanrenlun-cbeta,T45 no.1886《原人论》会通本末段,primary,ex-zongmi-originally-aware-true-mind,locator-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
huangbo-one-mind-no-external-buddha,src-huangbo-chuanxin-t48,"T48, no. 2012A, p.379c，正文首段",primary,ex-huangbo-one-mind-no-external-buddha,locator-reviewed,codex-zen-modern-source-review,2026-07-17
linji-master-of-every-situation,src-linji-lu-t47,"T47, no. 1985, p.498a，“示众”中“随处作主”段",primary,ex-linji-master-of-every-situation,locator-reviewed,codex-zen-modern-source-review,2026-07-17
wunengzi-humans-continuous-with-animals,src-wunengzi-shengguo,《无能子·圣过》开篇论人与虫类段,primary,ex-wunengzi-humans-continuous-with-animals,locator-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
zhou-dunyi-sincerity-root-practice,zhou-dunyi-tongshu-cheng,〈诚上第一〉、〈诚下第二〉,primary,ex-zhou-dunyi-sincerity-root-practice,locator-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
zhang-zai-cosmic-kinship,zhang-zai-ximing,《西铭》开篇至中段,primary,ex-zhang-zai-cosmic-kinship,locator-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
shao-yong-cosmos-correlative-pairs,shao-yong-huangji-11,《皇极经世》卷十一〈观物篇五十一〉首段至第三段,primary,ex-shao-yong-cosmos-correlative-pairs,locator-reviewed,codex-primary-source-pass,2026-07-17
zhou-dunyi-taiji-yinyang-generation,zhou-dunyi-taijitu-shuo,《太极图说》开篇至“五气顺布，四时行焉”,primary,ex-zhou-dunyi-taiji-yinyang-generation,locator-reviewed,codex-primary-source-pass,2026-07-17
cheng-yi-nature-is-principle,cheng-yi-yishu-xingli,《河南程氏遗书》卷二十二上,primary,ex-cheng-yi-nature-is-principle,locator-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
zhang-zai-great-void-qi,zhang-zai-zhengmeng-taihe,《正蒙》卷一〈太和篇第一〉第二节,primary,ex-zhang-zai-great-void-qi,locator-reviewed,codex-primary-source-pass,2026-07-17
cheng-hao-ren-one-body,cheng-hao-shiren,《河南程氏遗书》卷二上〈识仁篇〉开篇,primary,ex-cheng-hao-ren-one-body,locator-reviewed,codex-primary-source-pass,2026-07-17
su-shi-knowledge-requires-practice,su-shi-riyu,《东坡全集》卷四十九〈日喻〉末段,primary,ex-su-shi-knowledge-requires-practice,locator-reviewed,codex-primary-source-pass,2026-07-17
cheng-yi-reverence-investigation,cheng-yi-yishu-18,《河南程氏遗书》卷十八，论涵养与进学条,primary,ex-cheng-yi-reverence-investigation,locator-reviewed,codex-primary-source-pass,2026-07-17
hu-hong-nature-beyond-good-evil,hu-hong-zhiyan,《知言》卷四〈知言疑义〉论性条,primary,ex-hu-hong-nature-beyond-good-evil,locator-reviewed,codex-primary-source-pass,2026-07-17
zhu-xi-investigate-things-cumulative,zhu-xi-daxue-gewu,《大学章句》格物致知补传,primary,ex-zhu-xi-investigate-things-cumulative,locator-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
