claim_id,person_id,content_type,active_year,sort_order,is_introductory,domain_ids,research_status,source_review_status,translation_review_status,dedup_review_status,publish_status,canonical_key,period_note,reviewer,reviewed_at
fuxi-textual-image-patterns-to-trigrams,fuxi,position,-2900,1,true,tiandao-metaphysics;knowledge-method,canonical,source-reviewed,bilingual-reviewed,reviewed,published,fuxi-textual-image-patterns-to-trigrams,伏羲属于传说人物，无法确证其生平或言论。《系辞》不是传说年代文献，其主体通常置于战国至汉初的《易传》形成层；本节点只表示后世文本归于伏羲的文化奠基者形象。,legendary-founders-2026-07-15-a,2026-07-17
shennong-textual-image-empirical-benefit,shennong,position,-2800,1,true,nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,shennong-textual-image-empirical-benefit,神农属于传说人物。《淮南子》成书于西汉淮南王刘安宫廷，距传说年代极远；该段是汉代关于文明起源的叙事，不是神农言论或同时代记录。,legendary-founders-2026-07-15-a,2026-07-17
huangdi-medical-tradition-regulated-life,huangdi,position,-2700,1,true,nature-technology;ethics-cultivation;mind-human-nature,canonical,source-reviewed,bilingual-reviewed,reviewed,published,huangdi-medical-tradition-regulated-life,黄帝为传说文化祖先，《黄帝内经》不是其著作。该书由战国至两汉医学材料长期汇编，今本文本又经后世整理；引文说话者是岐伯，本节点仅以黄帝问答框架所代表的医学传统归类。,legendary-founders-2026-07-15-a,2026-07-17
yao-textual-image-virtue-expands-to-all-under-heaven,yao,position,-2300,1,true,politics-governance;ethics-cultivation;society-world,canonical,source-reviewed,bilingual-reviewed,reviewed,published,yao-textual-image-virtue-expands-to-all-under-heaven,尧属于传统圣王叙事，无法由《尧典》确证其历史言论。《尧典》虽可能保存较早传统，其成文和编定远晚于传说中的尧世；本节点只描述文本塑造的政治典范。,legendary-founders-2026-07-15-a,2026-07-17
shun-textual-image-balanced-character-music-education,shun,position,-2200,1,true,education-hermeneutics;aesthetics-art;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,shun-textual-image-balanced-character-music-education,舜是传统圣王形象，无法证实其言论。《尧典》《舜典》的分篇和文字层次经历长期传承与编定，文本远晚于所叙传说年代；本节点只归属于《尚书》塑造的舜形象。,legendary-founders-2026-07-15-a,2026-07-17
yu-textual-image-good-government-nourishes-people,yu-the-great,position,-2100,1,true,politics-governance;society-world;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,yu-textual-image-good-government-nourishes-people,大禹的历史性及年代无法由该篇证明。《大禹谟》属于东晋出现的伪古文《尚书》篇章，一般不视为先秦原篇，更不可能作为夏代大禹原话；本节点只记录后世经典传本塑造的大禹政治形象。,legendary-founders-2026-07-15-a,2026-07-17
king-wen-textual-tradition-qian-constancy,king-wen-zhou,position,-1100,1,true,tiandao-metaphysics;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,king-wen-textual-tradition-qian-constancy,文王为商末周初人物，但“文王作卦辞”是传统作者谱系，现代研究无法逐句证实。卦辞属于早期周代占筮文本的长期形成与编定过程；本节点明确记录传统归属，而非可证的文王个人言论。,legendary-founders-2026-07-15-a,2026-07-17
duke-zhou-textual-image-bright-virtue-cautious-punishment,duke-zhou,position,-1040,1,true,politics-governance;ritual-law;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,duke-zhou-textual-image-bright-virtue-cautious-punishment,周公是传统人物而非传说神祇，但《康诰》的说话者、成篇过程和后世编定层次仍有争论；篇章可能保存西周早期语言与政治观念，不能据此证明引文是周公逐字原话或亲笔。,legendary-founders-2026-07-15-a,2026-07-17
guan-zhong-material-security-moral-order,guan-zhong,position,-680,1,true,politics-governance;society-world;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,guan-zhong-material-security-moral-order,《管子》是多层累积的管仲学派文献，不能把《牧民》逐字视为管仲亲笔；节点按传统代表人物归属并标明学派编纂性质。,classical-2-2026-07-14-a,2026-07-17
laozi-language-dao,laozi,position,-550,1,true,tiandao-metaphysics;names-language,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-language-dao,,phase1-editorial,2026-07-13
laozi-wuwei-transformation,laozi,position,-550,2,true,tiandao-metaphysics;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-wuwei-transformation,,phase1-editorial,2026-07-13
laozi-model-naturalness,laozi,position,-550,3,true,tiandao-metaphysics;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-model-naturalness,,phase1-editorial,2026-07-13
laozi-reversal-dao,laozi,position,-550,4,false,tiandao-metaphysics,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-reversal-dao,,phase1-editorial,2026-07-14
laozi-softness-overcomes,laozi,position,-550,5,false,tiandao-metaphysics;politics-governance;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-softness-overcomes,,phase1-editorial,2026-07-14
laozi-contentment,laozi,position,-550,6,false,ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,laozi-contentment,,phase1-editorial,2026-07-14
yan-ying-harmony-not-sameness,yan-ying,position,-530,1,true,politics-governance;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,yan-ying-harmony-not-sameness,传世《晏子春秋》为累积编纂，按传统代表人物归于晏婴并明示文本层次。,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
confucius-ren-ritual,confucius,position,-515,1,true,ethics-cultivation;ritual-law,canonical,source-reviewed,bilingual-reviewed,reviewed,published,confucius-ren-ritual,,phase1-editorial,2026-07-13
confucius-reciprocity,confucius,position,-515,2,true,ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,confucius-reciprocity,,phase1-editorial,2026-07-13
confucius-rule-virtue,confucius,position,-515,3,true,ethics-cultivation;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,confucius-rule-virtue,,phase1-editorial,2026-07-13
confucius-rectification-names,confucius,position,-515,4,false,names-language;ethics-cultivation;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,confucius-rectification-names,,phase1-editorial,2026-07-14
confucius-superior-person,confucius,position,-515,5,false,ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,confucius-superior-person,,phase1-editorial,2026-07-14
confucius-harmony-difference,confucius,position,-515,6,false,ethics-cultivation;politics-governance;history-culture,canonical,source-reviewed,bilingual-reviewed,reviewed,published,confucius-harmony-difference,,phase1-editorial,2026-07-14
sunzi-victory-before-battle,sunzi,position,-500,1,true,politics-governance;knowledge-method,canonical,source-reviewed,bilingual-reviewed,reviewed,published,sunzi-victory-before-battle,《孙子兵法》传统归于孙武，传世本与出土本共同证明早期文本传统；具体编纂层次仍不等于可逐句认定孙武亲笔。,classical-2-2026-07-14-a,2026-07-17
yan-hui-learning-culture-ritual,yan-hui,position,-500,1,true,education-hermeneutics;ethics-cultivation;ritual-law,canonical,source-reviewed,bilingual-reviewed,reviewed,published,yan-hui-learning-culture-ritual,颜回无传世自著；该句是《论语》所保存的颜回第一人称发言，仍经过弟子共同体编纂。,classical-2-2026-07-14-a,2026-07-17
zengzi-confucian-way-zhong-shu,zengzi,position,-470,1,true,ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zengzi-confucian-way-zhong-shu,曾子无可确定为亲笔的传世著作；这是《论语》明确署于曾子的解释性发言。,classical-2-2026-07-14-a,2026-07-17
mozi-inclusive-care,mozi,position,-430,1,true,ethics-cultivation;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mozi-inclusive-care,,phase1-editorial,2026-07-13
mozi-care-order,mozi,position,-430,2,true,ethics-cultivation;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mozi-care-order,,phase1-editorial,2026-07-13
mozi-merit-office,mozi,position,-430,3,true,politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mozi-merit-office,,phase1-editorial,2026-07-13
mozi-condemn-offensive-war,mozi,position,-430,4,false,ethics-cultivation;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mozi-condemn-offensive-war,,phase1-editorial,2026-07-14
mozi-will-heaven,mozi,position,-430,5,false,tiandao-metaphysics;ethics-cultivation;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mozi-will-heaven,,phase1-editorial,2026-07-14
mozi-frugality,mozi,position,-430,6,false,ethics-cultivation;politics-governance;society-world,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mozi-frugality,,phase1-editorial,2026-07-14
zisi-sincerity-heaven-human-way,zisi,position,-430,1,true,tiandao-metaphysics;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zisi-sincerity-heaven-human-way,《中庸》传统上归于子思，但今本的形成与编纂层次存在学术争议；节点采用传统归属，不声称全文为子思亲笔定本。,classical-2-2026-07-14-a,2026-07-17
liezi-ceaseless-generation-transformation,liezi,position,-400,1,true,tiandao-metaphysics;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,liezi-ceaseless-generation-transformation,传世《列子》的成书年代与列御寇历史性均有重大争议；节点代表传世《列子》文本立场，不能证明为战国列御寇亲笔。,classical-2-2026-07-14-a,2026-07-17
yang-zhu-for-self-no-hair-for-world,yang-zhu,position,-400,1,true,ethics-cultivation;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,yang-zhu-for-self-no-hair-for-world,杨朱著作已佚；该命题来自思想对手孟子的简短、批评性传述，可靠显示早期接受史中的核心标签，但不能独立重建杨朱全部思想。,classical-2-2026-07-14-a,2026-07-17
shang-yang-law-trust-authority,shang-yang,position,-360,1,true,politics-governance;ritual-law,canonical,source-reviewed,bilingual-reviewed,reviewed,published,shang-yang-law-trust-authority,该段由唐代类书《群书治要》保存并题作《商君子·修权》；商鞅学派文献的具体亲笔作者不能确定，本节点按学派代表人物归属并保留传本限制。,classical-2026-07-14-a,2026-07-17
shen-buhai-technique-name-performance,shen-buhai,position,-350,1,true,politics-governance;names-language,canonical,source-reviewed,bilingual-reviewed,reviewed,published,shen-buhai-technique-name-performance,申不害著作已佚；此命题依据《韩非子》对申不害之“术”的明确传述，而非申不害亲笔原文。,classical-2026-07-14-a,2026-07-17
sun-bin-war-neither-delight-nor-profit,sun-bin,position,-340,1,true,politics-governance;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,sun-bin-war-neither-delight-nor-profit,今本据银雀山汉墓出土残简整理；《见威王》以孙膑发言形式保存，但简文有残缺、借字和整理者补字，节点只概括连续可读部分。,classical-2-2026-07-14-a,2026-07-17
mencius-moral-sprouts,mencius,position,-330,1,true,mind-human-nature;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mencius-moral-sprouts,,phase1-editorial,2026-07-13
mencius-nature-good,mencius,position,-330,2,true,mind-human-nature;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mencius-nature-good,,phase1-editorial,2026-07-13
mencius-people-priority,mencius,position,-330,3,true,ethics-cultivation;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mencius-people-priority,,phase1-editorial,2026-07-13
mencius-kingly-way,mencius,position,-330,4,false,ethics-cultivation;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mencius-kingly-way,,phase1-editorial,2026-07-14
mencius-rightness-profit,mencius,position,-330,5,false,ethics-cultivation;politics-governance;society-world,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mencius-rightness-profit,,phase1-editorial,2026-07-14
mencius-flood-like-qi,mencius,position,-330,6,false,mind-human-nature;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,mencius-flood-like-qi,,phase1-editorial,2026-07-14
hui-shi-great-one-small-one,hui-shi,position,-320,1,true,tiandao-metaphysics;names-language,canonical,source-reviewed,bilingual-reviewed,reviewed,published,hui-shi-great-one-small-one,惠施著作已佚；命题由《庄子·天下》明确列为惠施的“历物之意”，属于早期传述证据。,classical-2026-07-14-a,2026-07-17
zhuangzi-perspectives,zhuangzi,position,-320,1,true,knowledge-method;names-language,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zhuangzi-perspectives,,phase1-editorial,2026-07-13
zhuangzi-no-fixed-self,zhuangzi,position,-320,2,true,mind-human-nature;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zhuangzi-no-fixed-self,,phase1-editorial,2026-07-13
zhuangzi-ten-thousand-one,zhuangzi,position,-320,3,true,tiandao-metaphysics;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zhuangzi-ten-thousand-one,,phase1-editorial,2026-07-13
zhuangzi-free-easy-wandering,zhuangzi,position,-320,4,false,mind-human-nature;ethics-cultivation;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zhuangzi-free-easy-wandering,,phase1-editorial,2026-07-14
zhuangzi-skill-cultivation,zhuangzi,position,-320,5,false,knowledge-method;ethics-cultivation;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zhuangzi-skill-cultivation,,phase1-editorial,2026-07-14
zhuangzi-life-death,zhuangzi,position,-320,6,false,tiandao-metaphysics;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zhuangzi-life-death,,phase1-editorial,2026-07-14
gaozi-life-is-nature,gaozi,position,-315,1,true,mind-human-nature;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,gaozi-life-is-nature,告子无传世自著；该句由《孟子》论辩文本直接引述，人物可能带有文本角色化，但命题归属明确。,classical-2026-07-14-a,2026-07-17
xu-xing-ruler-shares-labor,xu-xing,position,-315,1,true,politics-governance;society-world;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,xu-xing-ruler-shares-labor,许行无传世自著；主张由其追随者陈相在《孟子》中转述，并处于孟子的批判语境中。,classical-2026-07-14-a,2026-07-17
shen-dao-follow-necessity,shen-dao,position,-310,1,true,tiandao-metaphysics;knowledge-method,canonical,source-reviewed,bilingual-reviewed,reviewed,published,shen-dao-follow-necessity,慎到著作大部散佚；此为《庄子·天下》对其思想的批评性传述，不等同于慎到自述原句。,classical-2026-07-14-a,2026-07-17
zou-yan-five-virtues-historical-succession,zou-yan,position,-300,1,true,history-culture;tiandao-metaphysics;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zou-yan-five-virtues-historical-succession,邹衍著作已佚；该命题依据《史记》的概括性传述，不把司马迁的措辞冒充邹衍原文。,classical-2-2026-07-14-a,2026-07-17
gongsun-long-white-horse-not-horse,gongsun-long,position,-285,1,true,names-language,canonical,source-reviewed,bilingual-reviewed,reviewed,published,gongsun-long-white-horse-not-horse,《公孙龙子》传本文本复杂，但《白马论》传统上归于公孙龙；本节点仅概括篇内明确论证。,classical-2026-07-14-a,2026-07-17
xunzi-nature-transformation,xunzi,position,-270,1,true,mind-human-nature;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,xunzi-nature-transformation,,phase1-editorial,2026-07-13
xunzi-ritual-order,xunzi,position,-270,2,true,ethics-cultivation;politics-governance;ritual-law,canonical,source-reviewed,bilingual-reviewed,reviewed,published,xunzi-ritual-order,,phase1-editorial,2026-07-13
xunzi-heaven-constant,xunzi,position,-270,3,true,tiandao-metaphysics;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,xunzi-heaven-constant,,phase1-editorial,2026-07-13
xunzi-encouragement-learning,xunzi,position,-270,4,false,knowledge-method;ethics-cultivation;education-hermeneutics,canonical,source-reviewed,bilingual-reviewed,reviewed,published,xunzi-encouragement-learning,,phase1-editorial,2026-07-14
xunzi-rectification-names,xunzi,position,-270,5,false,names-language;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,xunzi-rectification-names,,phase1-editorial,2026-07-14
xunzi-rightness-profit,xunzi,position,-270,6,false,ethics-cultivation;politics-governance;society-world,canonical,source-reviewed,bilingual-reviewed,reviewed,published,xunzi-rightness-profit,,phase1-editorial,2026-07-14
han-fei-two-handles,han-fei,position,-250,1,true,politics-governance;ritual-law,canonical,source-reviewed,bilingual-reviewed,reviewed,published,han-fei-two-handles,传世《韩非子》本篇的直接命题。,classical-2026-07-14-a,2026-07-17
lu-buwei-law-must-change-with-times,lu-buwei,position,-245,1,true,politics-governance;ritual-law;history-culture,canonical,source-reviewed,bilingual-reviewed,reviewed,published,lu-buwei-law-must-change-with-times,《吕氏春秋》由吕不韦主持门客集体编纂；节点按项目主持者归属，但不声称该句为吕不韦亲笔。,classical-2-2026-07-14-a,2026-07-17
li-si-state-strength-through-inclusion,li-si,position,-237,1,true,politics-governance;society-world,canonical,source-reviewed,bilingual-reviewed,reviewed,published,li-si-state-strength-through-inclusion,《谏逐客书》为明确署于李斯的奏议，传世文本亦见《史记·李斯列传》；此处采用独立电子本。,classical-2-2026-07-14-a,2026-07-17
dong-zhongshu-heaven-warns-ruler,dong-zhongshu,position,-140,1,true,politics-governance;nature-technology;religion-transcendence,canonical,source-reviewed,bilingual-reviewed,reviewed,published,dong-zhongshu-heaven-warns-ruler,《汉书》保存的董仲舒对策文本；属于后出史书嵌入的本人奏策，而非《汉书》作者对其思想的概述。,classical-2026-07-14-a,2026-07-17
liu-an-dao-encompasses-cosmos,liu-an,position,-140,1,true,tiandao-metaphysics;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,liu-an-dao-encompasses-cosmos,《淮南子》是刘安主持、宾客共同参与的宫廷编纂物；本节点按项目负责人刘安归属，但不声称句句为刘安亲笔。,classical-2026-07-14-a,2026-07-17
liu-an-qi-differentiates-cosmos,liu-an,position,-140,2,false,tiandao-metaphysics;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,liu-an-qi-differentiates-cosmos,《淮南子》是刘安主持的宫廷集体编纂，节点归于其思想工程，不声称为刘安亲笔独作。,codex-han-tang-expansion-2026-07-17,2026-07-17
dong-zhongshu-five-phases-governance,dong-zhongshu,position,-135,2,false,tiandao-metaphysics;politics-governance;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,dong-zhongshu-five-phases-governance,《春秋繁露》今本不是可以逐篇无条件归于董仲舒的单一作者文本；按传统思想谱系归属。,codex-han-tang-expansion-2026-07-17,2026-07-17
sima-tan-six-schools-shared-governance,sima-tan,position,-125,1,true,history-culture;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,sima-tan-six-schools-shared-governance,司马迁在《太史公自序》中明确把《论六家要旨》归于其父司马谈，文本以嵌入文章形式保存。,classical-2026-07-14-a,2026-07-17
sima-qian-death-value-by-purpose,sima-qian,position,-105,1,true,ethics-cultivation;history-culture,canonical,source-reviewed,bilingual-reviewed,reviewed,published,sima-qian-death-value-by-purpose,《汉书》保存的司马迁书信文本；属于后出史书嵌入的本人文字，而非班固对其观点的概括。,classical-2-2026-07-14-a,2026-07-17
yang-xiong-nature-mixed-cultivation,yang-xiong,position,-10,1,true,mind-human-nature;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,yang-xiong-nature-mixed-cultivation,扬雄《法言》本篇的直接命题。,classical-2-2026-07-14-a,2026-07-17
huan-tan-spirit-dependent-on-body,huan-tan,position,5,1,true,mind-human-nature;tiandao-metaphysics;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,huan-tan-spirit-dependent-on-body,《新论》原书已佚，此段由梁代《弘明集》以“晋桓谭”名义保存；节点据辑佚材料收录，并保留传抄与时代题署问题。,classical-2-2026-07-14-a,2026-07-17
wang-chong-spontaneous-generation,wang-chong,position,65,1,true,tiandao-metaphysics;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,wang-chong-spontaneous-generation,王充《论衡》本篇的直接命题。,classical-2026-07-14-a,2026-07-17
wang-chong-dead-lack-awareness,wang-chong,position,85,2,false,mind-human-nature;tiandao-metaphysics;religion-transcendence,canonical,source-reviewed,bilingual-reviewed,reviewed,published,wang-chong-dead-lack-awareness,《论衡》传世本中王充的系统论辩。,codex-han-tang-expansion-2026-07-17,2026-07-17
ban-zhao-educate-women,ban-zhao,position,100,1,true,education-hermeneutics;society-world;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,ban-zhao-educate-women,《女诫》传统一直归班昭；现存文本经过长期抄刻。该命题同时保留其倡导女教与维护性别等级的历史张力。,codex-medieval-source-review-2,2026-07-17
wang-fu-people-ground-state,wang-fu,position,150,1,true,politics-governance;society-world,canonical,source-reviewed,bilingual-reviewed,reviewed,published,wang-fu-people-ground-state,采用《潜夫论》传世本；命题限于〈爱日〉可直接支持的民生—农时论证。,codex-medieval-source-review-2,2026-07-17
zheng-xuan-ritual-constitutes-person,zheng-xuan,position,190,1,true,ritual-law;ethics-cultivation,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zheng-xuan-ritual-constitutes-person,经文与注文须分层：此句见《礼记·礼器》传本文本，郑玄注文以身体结构阐释“礼”。公开时归作“郑玄对礼的解释”，不称其原创经句。,codex-medieval-source-review-2,2026-07-17
zhongchang-tong-human-affairs-primary,zhongchang-tong,position,205,1,true,politics-governance;knowledge-method,canonical,source-reviewed,bilingual-reviewed,reviewed,published,zhongchang-tong-human-affairs-primary,《昌言》多由《后汉书》等保存并经后世辑佚，本条按传世辑本文字。,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
he-yan-nonbeing-ground-of-being,he-yan,position,240,1,true,tiandao-metaphysics,canonical,source-reviewed,bilingual-reviewed,reviewed,published,he-yan-nonbeing-ground-of-being,《道論》原书已佚；此句经西晋张湛《列子注》引录而保存。因此可作为早期传承明确归于何晏的残篇命题，但不应假装拥有完整篇章语境。,codex-medieval-source-review,2026-07-17
wang-bi-being-rooted-in-nonbeing,wang-bi,position,245,1,true,tiandao-metaphysics,canonical,source-reviewed,bilingual-reviewed,reviewed,published,wang-bi-being-rooted-in-nonbeing,采用通行王弼《老子注》文本；命题是对该章注文的规范化概括，而非把《老子》经文直接改署王弼。,codex-medieval-source-review,2026-07-17
wang-bi-forget-words-grasp-meaning,wang-bi,position,245,2,false,names-language;knowledge-method;tiandao-metaphysics,canonical,source-reviewed,bilingual-reviewed,reviewed,published,wang-bi-forget-words-grasp-meaning,《周易略例》传统与文本系统稳定归于王弼。,codex-han-tang-expansion-2026-07-17,2026-07-17
ji-kang-sound-without-emotion,ji-kang,position,250,1,true,aesthetics-art;mind-human-nature,canonical,source-reviewed,bilingual-reviewed,reviewed,published,ji-kang-sound-without-emotion,《声无哀乐论》为嵇康现存论著；规范命题综合文中同一论证段的两句，并未把对话中秦客的反方意见误归给嵇康。,codex-medieval-source-review,2026-07-17
ji-kang-nourishing-life-unifies-body-spirit,ji-kang,position,250,2,false,ethics-cultivation;mind-human-nature;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,ji-kang-nourishing-life-unifies-body-spirit,数字寿命保留为文本历史主张，不作为医学事实背书。,codex-han-tang-expansion-2026-07-17,2026-07-17
ruan-ji-great-person-beyond-ritual,ruan-ji,position,250,1,true,ethics-cultivation;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,ruan-ji-great-person-beyond-ritual,命题归于阮籍塑造的“大人先生”理想人格，不把作品中的君子来书等反方话语误归作者。,codex-medieval-source-review-2,2026-07-17
xiang-xiu-desire-natural-but-ritually-regulated,xiang-xiu,position,260,1,true,ethics-cultivation;mind-human-nature,canonical,source-reviewed,bilingual-reviewed,reviewed,published,xiang-xiu-desire-natural-but-ritually-regulated,现存文本见嵇康文集系统及后代总集。该句是向秀对嵇康的诘难；规范命题补入其同篇“以礼节之”的限制，避免误读为纵欲论。,codex-medieval-source-review-2,2026-07-17
lu-sheng-names-distinguish-and-govern,lu-sheng,position,290,1,true,names-language;knowledge-method;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,lu-sheng-names-distinguish-and-govern,据现存序文直接归于鲁胜。,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
pei-wei-being-self-generates,pei-wei,position,290,1,true,tiandao-metaphysics;politics-governance,canonical,source-reviewed,bilingual-reviewed,reviewed,published,pei-wei-being-self-generates,《崇有论》全篇主要靠《晋书·裴頠传》保存；命题按史书所录残篇归于裴頠，不假定已经见到独立原刊本。,codex-medieval-source-review-2,2026-07-17
guo-xiang-things-self-generate,guo-xiang,position,300,1,true,tiandao-metaphysics;nature-technology,canonical,source-reviewed,bilingual-reviewed,reviewed,published,guo-xiang-things-self-generate,以现存郭象整理本《庄子注》为归属单位。史籍记载郭象曾利用向秀旧注，因此本命题可稳妥归于“郭象本注的现存形态”，不主张其措辞必为郭象独创。,codex-medieval-source-review,2026-07-17
guo-xiang-independence-through-dependence,guo-xiang,position,300,2,false,tiandao-metaphysics;ethics-cultivation;society-world,canonical,source-reviewed,bilingual-reviewed,reviewed,published,guo-xiang-independence-through-dependence,这是郭象注文的规范化概括，不与《庄子》经文作者混同。,codex-han-tang-expansion-2026-07-17,2026-07-17
