id,person_id,content_type,active_year,sort_order,is_introductory,domain_ids,review_status,reviewer,reviewed_at
fuxi-textual-image-patterns-to-trigrams,fuxi,position,-2900,1,true,tiandao-metaphysics;knowledge-method,source-reviewed,legendary-founders-2026-07-15-a,2026-07-17
shennong-textual-image-empirical-benefit,shennong,position,-2800,1,true,nature-technology,source-reviewed,legendary-founders-2026-07-15-a,2026-07-17
huangdi-medical-tradition-regulated-life,huangdi,position,-2700,1,true,nature-technology;ethics-cultivation;mind-human-nature,source-reviewed,legendary-founders-2026-07-15-a,2026-07-17
yao-textual-image-virtue-expands-to-all-under-heaven,yao,position,-2300,1,true,politics-governance;ethics-cultivation;society-world,source-reviewed,legendary-founders-2026-07-15-a,2026-07-17
shun-textual-image-balanced-character-music-education,shun,position,-2200,1,true,education-hermeneutics;aesthetics-art;ethics-cultivation,source-reviewed,legendary-founders-2026-07-15-a,2026-07-17
yu-textual-image-good-government-nourishes-people,yu-the-great,position,-2100,1,true,politics-governance;society-world;ethics-cultivation,source-reviewed,legendary-founders-2026-07-15-a,2026-07-17
king-wen-textual-tradition-qian-constancy,king-wen-zhou,position,-1100,1,true,tiandao-metaphysics;ethics-cultivation,source-reviewed,legendary-founders-2026-07-15-a,2026-07-17
duke-zhou-textual-image-bright-virtue-cautious-punishment,duke-zhou,position,-1040,1,true,politics-governance;ritual-law;ethics-cultivation,source-reviewed,legendary-founders-2026-07-15-a,2026-07-17
guan-zhong-material-security-moral-order,guan-zhong,position,-680,1,true,politics-governance;society-world;ethics-cultivation,source-reviewed,classical-2-2026-07-14-a,2026-07-17
laozi-language-dao,laozi,position,-550,1,true,tiandao-metaphysics;names-language,source-reviewed,phase1-editorial,2026-07-13
laozi-wuwei-transformation,laozi,position,-550,2,true,tiandao-metaphysics;politics-governance,source-reviewed,phase1-editorial,2026-07-13
laozi-model-naturalness,laozi,position,-550,3,true,tiandao-metaphysics;nature-technology,source-reviewed,phase1-editorial,2026-07-13
laozi-reversal-dao,laozi,position,-550,4,false,tiandao-metaphysics,source-reviewed,phase1-editorial,2026-07-14
laozi-softness-overcomes,laozi,position,-550,5,false,tiandao-metaphysics;politics-governance;nature-technology,source-reviewed,phase1-editorial,2026-07-14
laozi-contentment,laozi,position,-550,6,false,ethics-cultivation,source-reviewed,phase1-editorial,2026-07-14
yan-ying-harmony-not-sameness,yan-ying,position,-530,1,true,politics-governance;ethics-cultivation,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
confucius-ren-ritual,confucius,position,-515,1,true,ethics-cultivation;ritual-law,source-reviewed,phase1-editorial,2026-07-13
confucius-reciprocity,confucius,position,-515,2,true,ethics-cultivation,source-reviewed,phase1-editorial,2026-07-13
confucius-rule-virtue,confucius,position,-515,3,true,ethics-cultivation;politics-governance,source-reviewed,phase1-editorial,2026-07-13
confucius-rectification-names,confucius,position,-515,4,false,names-language;ethics-cultivation;politics-governance,source-reviewed,phase1-editorial,2026-07-14
confucius-superior-person,confucius,position,-515,5,false,ethics-cultivation,source-reviewed,phase1-editorial,2026-07-14
confucius-harmony-difference,confucius,position,-515,6,false,ethics-cultivation;politics-governance;history-culture,source-reviewed,phase1-editorial,2026-07-14
sunzi-victory-before-battle,sunzi,position,-500,1,true,politics-governance;knowledge-method,source-reviewed,classical-2-2026-07-14-a,2026-07-17
yan-hui-learning-culture-ritual,yan-hui,position,-500,1,true,education-hermeneutics;ethics-cultivation;ritual-law,source-reviewed,classical-2-2026-07-14-a,2026-07-17
zengzi-confucian-way-zhong-shu,zengzi,position,-470,1,true,ethics-cultivation,source-reviewed,classical-2-2026-07-14-a,2026-07-17
mozi-inclusive-care,mozi,position,-430,1,true,ethics-cultivation;politics-governance,source-reviewed,phase1-editorial,2026-07-13
mozi-care-order,mozi,position,-430,2,true,ethics-cultivation;politics-governance,source-reviewed,phase1-editorial,2026-07-13
mozi-merit-office,mozi,position,-430,3,true,politics-governance,source-reviewed,phase1-editorial,2026-07-13
mozi-condemn-offensive-war,mozi,position,-430,4,false,ethics-cultivation;politics-governance,source-reviewed,phase1-editorial,2026-07-14
mozi-will-heaven,mozi,position,-430,5,false,tiandao-metaphysics;ethics-cultivation;politics-governance,source-reviewed,phase1-editorial,2026-07-14
mozi-frugality,mozi,position,-430,6,false,ethics-cultivation;politics-governance;society-world,source-reviewed,phase1-editorial,2026-07-14
zisi-sincerity-heaven-human-way,zisi,position,-430,1,true,tiandao-metaphysics;ethics-cultivation,source-reviewed,classical-2-2026-07-14-a,2026-07-17
liezi-ceaseless-generation-transformation,liezi,position,-400,1,true,tiandao-metaphysics;nature-technology,source-reviewed,classical-2-2026-07-14-a,2026-07-17
yang-zhu-for-self-no-hair-for-world,yang-zhu,position,-400,1,true,ethics-cultivation;politics-governance,source-reviewed,classical-2-2026-07-14-a,2026-07-17
shang-yang-law-trust-authority,shang-yang,position,-360,1,true,politics-governance;ritual-law,source-reviewed,classical-2026-07-14-a,2026-07-17
shen-buhai-technique-name-performance,shen-buhai,position,-350,1,true,politics-governance;names-language,source-reviewed,classical-2026-07-14-a,2026-07-17
sun-bin-war-neither-delight-nor-profit,sun-bin,position,-340,1,true,politics-governance;ethics-cultivation,source-reviewed,classical-2-2026-07-14-a,2026-07-17
mencius-moral-sprouts,mencius,position,-330,1,true,mind-human-nature;ethics-cultivation,source-reviewed,phase1-editorial,2026-07-13
mencius-nature-good,mencius,position,-330,2,true,mind-human-nature;ethics-cultivation,source-reviewed,phase1-editorial,2026-07-13
mencius-people-priority,mencius,position,-330,3,true,ethics-cultivation;politics-governance,source-reviewed,phase1-editorial,2026-07-13
mencius-kingly-way,mencius,position,-330,4,false,ethics-cultivation;politics-governance,source-reviewed,phase1-editorial,2026-07-14
mencius-rightness-profit,mencius,position,-330,5,false,ethics-cultivation;politics-governance;society-world,source-reviewed,phase1-editorial,2026-07-14
mencius-flood-like-qi,mencius,position,-330,6,false,mind-human-nature;ethics-cultivation,source-reviewed,phase1-editorial,2026-07-14
hui-shi-great-one-small-one,hui-shi,position,-320,1,true,tiandao-metaphysics;names-language,source-reviewed,classical-2026-07-14-a,2026-07-17
zhuangzi-perspectives,zhuangzi,position,-320,1,true,knowledge-method;names-language,source-reviewed,phase1-editorial,2026-07-13
zhuangzi-no-fixed-self,zhuangzi,position,-320,2,true,mind-human-nature;ethics-cultivation,source-reviewed,phase1-editorial,2026-07-13
zhuangzi-ten-thousand-one,zhuangzi,position,-320,3,true,tiandao-metaphysics;nature-technology,source-reviewed,phase1-editorial,2026-07-13
zhuangzi-free-easy-wandering,zhuangzi,position,-320,4,false,mind-human-nature;ethics-cultivation;nature-technology,source-reviewed,phase1-editorial,2026-07-14
zhuangzi-skill-cultivation,zhuangzi,position,-320,5,false,knowledge-method;ethics-cultivation;nature-technology,source-reviewed,phase1-editorial,2026-07-14
zhuangzi-life-death,zhuangzi,position,-320,6,false,tiandao-metaphysics;ethics-cultivation,source-reviewed,phase1-editorial,2026-07-14
gaozi-life-is-nature,gaozi,position,-315,1,true,mind-human-nature;ethics-cultivation,source-reviewed,classical-2026-07-14-a,2026-07-17
xu-xing-ruler-shares-labor,xu-xing,position,-315,1,true,politics-governance;society-world;ethics-cultivation,source-reviewed,classical-2026-07-14-a,2026-07-17
shen-dao-follow-necessity,shen-dao,position,-310,1,true,tiandao-metaphysics;knowledge-method,source-reviewed,classical-2026-07-14-a,2026-07-17
zou-yan-five-virtues-historical-succession,zou-yan,position,-300,1,true,history-culture;tiandao-metaphysics;politics-governance,source-reviewed,classical-2-2026-07-14-a,2026-07-17
gongsun-long-white-horse-not-horse,gongsun-long,position,-285,1,true,names-language,source-reviewed,classical-2026-07-14-a,2026-07-17
xunzi-nature-transformation,xunzi,position,-270,1,true,mind-human-nature;ethics-cultivation,source-reviewed,phase1-editorial,2026-07-13
xunzi-ritual-order,xunzi,position,-270,2,true,ethics-cultivation;politics-governance;ritual-law,source-reviewed,phase1-editorial,2026-07-13
xunzi-heaven-constant,xunzi,position,-270,3,true,tiandao-metaphysics;nature-technology,source-reviewed,phase1-editorial,2026-07-13
xunzi-encouragement-learning,xunzi,position,-270,4,false,knowledge-method;ethics-cultivation;education-hermeneutics,source-reviewed,phase1-editorial,2026-07-14
xunzi-rectification-names,xunzi,position,-270,5,false,names-language;politics-governance,source-reviewed,phase1-editorial,2026-07-14
xunzi-rightness-profit,xunzi,position,-270,6,false,ethics-cultivation;politics-governance;society-world,source-reviewed,phase1-editorial,2026-07-14
han-fei-two-handles,han-fei,position,-250,1,true,politics-governance;ritual-law,source-reviewed,classical-2026-07-14-a,2026-07-17
lu-buwei-law-must-change-with-times,lu-buwei,position,-245,1,true,politics-governance;ritual-law;history-culture,source-reviewed,classical-2-2026-07-14-a,2026-07-17
li-si-state-strength-through-inclusion,li-si,position,-237,1,true,politics-governance;society-world,source-reviewed,classical-2-2026-07-14-a,2026-07-17
dong-zhongshu-heaven-warns-ruler,dong-zhongshu,position,-140,1,true,politics-governance;nature-technology;religion-transcendence,source-reviewed,classical-2026-07-14-a,2026-07-17
liu-an-dao-encompasses-cosmos,liu-an,position,-140,1,true,tiandao-metaphysics;nature-technology,source-reviewed,classical-2026-07-14-a,2026-07-17
liu-an-qi-differentiates-cosmos,liu-an,position,-140,2,false,tiandao-metaphysics;nature-technology,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
dong-zhongshu-five-phases-governance,dong-zhongshu,position,-135,2,false,tiandao-metaphysics;politics-governance;nature-technology,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
sima-tan-six-schools-shared-governance,sima-tan,position,-125,1,true,history-culture;politics-governance,source-reviewed,classical-2026-07-14-a,2026-07-17
sima-qian-death-value-by-purpose,sima-qian,position,-105,1,true,ethics-cultivation;history-culture,source-reviewed,classical-2-2026-07-14-a,2026-07-17
yang-xiong-nature-mixed-cultivation,yang-xiong,position,-10,1,true,mind-human-nature;ethics-cultivation,source-reviewed,classical-2-2026-07-14-a,2026-07-17
huan-tan-spirit-dependent-on-body,huan-tan,position,5,1,true,mind-human-nature;tiandao-metaphysics;nature-technology,source-reviewed,classical-2-2026-07-14-a,2026-07-17
wang-chong-spontaneous-generation,wang-chong,position,65,1,true,tiandao-metaphysics;nature-technology,source-reviewed,classical-2026-07-14-a,2026-07-17
wang-chong-dead-lack-awareness,wang-chong,position,85,2,false,mind-human-nature;tiandao-metaphysics;religion-transcendence,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
ban-zhao-educate-women,ban-zhao,position,100,1,true,education-hermeneutics;society-world;ethics-cultivation,source-reviewed,codex-medieval-source-review-2,2026-07-17
wang-fu-people-ground-state,wang-fu,position,150,1,true,politics-governance;society-world,source-reviewed,codex-medieval-source-review-2,2026-07-17
zheng-xuan-ritual-constitutes-person,zheng-xuan,position,190,1,true,ritual-law;ethics-cultivation,source-reviewed,codex-medieval-source-review-2,2026-07-17
zhongchang-tong-human-affairs-primary,zhongchang-tong,position,205,1,true,politics-governance;knowledge-method,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
he-yan-nonbeing-ground-of-being,he-yan,position,240,1,true,tiandao-metaphysics,source-reviewed,codex-medieval-source-review,2026-07-17
wang-bi-being-rooted-in-nonbeing,wang-bi,position,245,1,true,tiandao-metaphysics,source-reviewed,codex-medieval-source-review,2026-07-17
wang-bi-forget-words-grasp-meaning,wang-bi,position,245,2,false,names-language;knowledge-method;tiandao-metaphysics,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
ji-kang-sound-without-emotion,ji-kang,position,250,1,true,aesthetics-art;mind-human-nature,source-reviewed,codex-medieval-source-review,2026-07-17
ji-kang-nourishing-life-unifies-body-spirit,ji-kang,position,250,2,false,ethics-cultivation;mind-human-nature;nature-technology,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
ruan-ji-great-person-beyond-ritual,ruan-ji,position,250,1,true,ethics-cultivation;politics-governance,source-reviewed,codex-medieval-source-review-2,2026-07-17
xiang-xiu-desire-natural-but-ritually-regulated,xiang-xiu,position,260,1,true,ethics-cultivation;mind-human-nature,source-reviewed,codex-medieval-source-review-2,2026-07-17
lu-sheng-names-distinguish-and-govern,lu-sheng,position,290,1,true,names-language;knowledge-method;politics-governance,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
pei-wei-being-self-generates,pei-wei,position,290,1,true,tiandao-metaphysics;politics-governance,source-reviewed,codex-medieval-source-review-2,2026-07-17
guo-xiang-things-self-generate,guo-xiang,position,300,1,true,tiandao-metaphysics;nature-technology,source-reviewed,codex-medieval-source-review,2026-07-17
guo-xiang-independence-through-dependence,guo-xiang,position,300,2,false,tiandao-metaphysics;ethics-cultivation;society-world,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
ge-hong-immortality-learnable,ge-hong,position,320,1,true,religion-transcendence;ethics-cultivation;nature-technology,source-reviewed,codex-medieval-source-review-2,2026-07-17
ge-hong-virtue-precedes-immortality,ge-hong,position,320,2,false,ethics-cultivation;religion-transcendence,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
zhi-dun-freedom-not-mere-satisfaction,zhi-dun,position,350,1,true,mind-human-nature;ethics-cultivation;tiandao-metaphysics,source-reviewed,codex-medieval-source-review-2,2026-07-17
huiyuan-monastic-autonomy,huiyuan,position,400,1,true,politics-governance;religion-transcendence;ethics-cultivation,source-reviewed,codex-medieval-source-review-2,2026-07-17
sengzhao-emptiness-not-annihilation,sengzhao,position,410,1,true,tiandao-metaphysics;knowledge-method,source-reviewed,codex-medieval-source-review,2026-07-17
sengzhao-motion-and-stillness-nondual,sengzhao,position,410,2,false,tiandao-metaphysics;knowledge-method,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
daosheng-all-beings-can-become-buddhas,daosheng,position,430,1,true,religion-transcendence;mind-human-nature,source-reviewed,codex-medieval-source-review,2026-07-17
fan-zhen-mind-function-of-body,fan-zhen,position,490,1,true,mind-human-nature;tiandao-metaphysics,source-reviewed,codex-medieval-source-review-2,2026-07-17
bodhidharma-two-entrances-practice,bodhidharma,position,520,1,true,religion-transcendence;ethics-cultivation;mind-human-nature,source-reviewed,codex-zen-modern-source-review,2026-07-17
zhiyi-three-thousand-in-one-thought,zhiyi,position,594,1,true,tiandao-metaphysics;mind-human-nature;religion-transcendence,source-reviewed,codex-medieval-source-review,2026-07-17
jizang-two-truths-pedagogical,jizang,position,600,1,true,knowledge-method;names-language;tiandao-metaphysics,source-reviewed,codex-medieval-source-review-2,2026-07-17
wang-tong-learning-serves-governance,wang-tong-sui,position,605,1,true,politics-governance;education-hermeneutics,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
du-shun-emptiness-form-nonobstruction,du-shun,position,620,1,true,tiandao-metaphysics;religion-transcendence,source-reviewed,codex-medieval-source-review-2,2026-07-17
lv-cai-test-divination-against-classics,lv-cai,position,640,1,true,knowledge-method;nature-technology,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
xuanzang-color-not-apart-consciousness,xuanzang,position,650,1,true,knowledge-method;mind-human-nature;names-language,source-reviewed,codex-medieval-source-review-2,2026-07-17
kuiji-consciousness-only-not-nihilism,kuiji,position,680,1,true,knowledge-method;mind-human-nature;tiandao-metaphysics,source-reviewed,codex-medieval-source-review-2,2026-07-17
fazang-dependent-arising-golden-lion,fazang,position,700,1,true,tiandao-metaphysics;religion-transcendence,source-reviewed,codex-medieval-source-review,2026-07-17
fazang-one-is-all-nonobstruction,fazang,position,700,2,false,tiandao-metaphysics;religion-transcendence;knowledge-method,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
huineng-intrinsically-pure-self-nature,huineng,position,700,1,true,mind-human-nature;religion-transcendence;ethics-cultivation,source-reviewed,codex-medieval-source-review,2026-07-17
shenxiu-concentrate-mind-quiet-thought,shenxiu,position,700,1,true,mind-human-nature;ethics-cultivation;religion-transcendence,source-reviewed,codex-medieval-source-review-2,2026-07-17
shenhui-no-thought-and-nonaction,shenhui,position,740,1,true,mind-human-nature;ethics-cultivation;religion-transcendence,source-reviewed,codex-medieval-source-review-2,2026-07-17
mazu-mind-is-buddha,mazu-daoyi,position,770,1,true,mind-human-nature;religion-transcendence;ethics-cultivation,source-reviewed,codex-medieval-source-review-2,2026-07-17
han-yu-ren-yi-dao-de,han-yu,position,800,1,true,ethics-cultivation;politics-governance,source-reviewed,codex-medieval-source-review-2,2026-07-17
han-yu-confucian-succession,han-yu,position,800,2,false,history-culture;education-hermeneutics;politics-governance,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
li-ao-nature-obscured-by-emotions,li-ao,position,810,1,true,mind-human-nature;ethics-cultivation,source-reviewed,codex-medieval-source-review-2,2026-07-17
liu-zongyuan-enfeoffment-product-of-circumstance,liu-zongyuan,position,810,1,true,politics-governance;history-culture,source-reviewed,codex-medieval-source-review-2,2026-07-17
liu-zongyuan-heaven-human-separate-functions,liu-zongyuan,position,810,2,false,tiandao-metaphysics;politics-governance;nature-technology,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
zongmi-sudden-awakening-gradual-cultivation,zongmi,position,830,1,true,mind-human-nature;knowledge-method;ethics-cultivation;religion-transcendence,source-reviewed,codex-medieval-source-review,2026-07-17
zongmi-originally-aware-true-mind,zongmi,position,830,2,false,mind-human-nature;religion-transcendence;education-hermeneutics,source-reviewed,codex-han-tang-expansion-2026-07-17,2026-07-17
huangbo-one-mind-no-external-buddha,huangbo-xiyun,position,850,1,true,mind-human-nature;religion-transcendence;ethics-cultivation,source-reviewed,codex-zen-modern-source-review,2026-07-17
linji-master-of-every-situation,linji-yixuan,position,860,1,true,mind-human-nature;ethics-cultivation;religion-transcendence,source-reviewed,codex-zen-modern-source-review,2026-07-17
wunengzi-humans-continuous-with-animals,wunengzi,position,890,1,true,society-world;nature-technology;tiandao-metaphysics,source-reviewed,codex-ultimate-candidate-expansion-2026-07-17,2026-07-17
zhou-dunyi-sincerity-root-practice,zhou-dunyi,position,1045,2,false,ethics-cultivation;tiandao-metaphysics,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
zhang-zai-cosmic-kinship,zhang-zai,position,1048,2,false,ethics-cultivation;society-world;tiandao-metaphysics,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
shao-yong-cosmos-correlative-pairs,shao-yong,position,1065,1,true,tiandao-metaphysics;nature-technology,source-reviewed,codex-primary-source-pass,2026-07-17
zhou-dunyi-taiji-yinyang-generation,zhou-dunyi,position,1065,1,true,tiandao-metaphysics,source-reviewed,codex-primary-source-pass,2026-07-17
cheng-yi-nature-is-principle,cheng-yi,position,1070,2,false,mind-human-nature;tiandao-metaphysics;ethics-cultivation,source-reviewed,codex-song-qing-primary-and-comparative-pass,2026-07-17
zhang-zai-great-void-qi,zhang-zai,position,1070,1,true,tiandao-metaphysics,source-reviewed,codex-primary-source-pass,2026-07-17
